,data,target
161,What are the dimensions of an ice hockey goal ?,NUM
162,What is Answers.com 's address ?,LOC
163,What U.S. state has the second-longest coastline ?,LOC
164,What do players try to do when the music stops in a game of musical chairs ?,DESC
165,What time does Wee Willie Winkie run through the town ?,NUM
166,How many varieties of apple are there ?,NUM
167,"What company started out making pies , and wound up manufacturing plastic throwing toys ?",HUM
168,How many points make up a perfect fivepin bowling score ?,NUM
169,What weapon is the mythological character Apollo most proficient with ?,ENTY
170,What is the oldest building in the United States ?,LOC
171,Where do you find information about the Queensland National Competition Policy,LOC
172,How many species of the Great White shark are there ?,NUM
173,What kind of education do I need to become a flight attendant ?,ENTY
174,What two commanders directed the forces in the Battle of El Alamein ?,HUM
175,How old was Lucille Ball when the show `` I Love Lucy '' premiered ?,NUM
176,Who wrote `` Much Ado About Nothing '' ?,HUM
177,"What U.S. state boasts Stone Mountain , the world 's largest mass of exposed granite ?",LOC
178,Who invented the pull-tab opener on cans ?,HUM
179,How big is the largest diamond ?,NUM
180,What letter appears on the cold-water tap in Spain ?,ENTY
181,What year did Germany sign its nonaggression pact with the Soviet Union ?,NUM
182,What country was Kim Philby really working for ?,LOC
183,In what year was actress Joan Collins born ?,NUM
184,Who is Colin Powell ?,HUM
185,What Cherokee Indian gave his name to a tree ?,HUM
186,What does an emperor do ?,DESC
187,Who wrote The Red Badge of Courage ?,HUM
188,Who portrayed Sherlock Holmes in 14 films between 1939 and 1946 ?,HUM
189,The Kentucky Horse Park is located near what city ?,LOC
190,What color is the lipstick on Boy George 's wax lips at London 's Madame Tussaud 's ?,ENTY
191,What state is John F. Kennedy buried in ?,LOC
192,What is the name of the American literary era that includes 1896 ?,ENTY
193,When is the Sun closest to the Earth ?,NUM
194,What is a mathematical factor ?,DESC
195,When was the Berlin Wall erected ?,NUM
196,Which police department made the all-time biggest cocaine bust in Ventura County ?,HUM
197,How long should you feed your puppy Purina Puppy Chow ?,NUM
198,What was the outcome of the 1945 Yalta Conference ?,DESC
199,Where did the Battle of the Bulge take place ?,LOC
200,What is the nickname of Pennsylvania ?,LOC
201,Name a canine cartoon character other than Huckleberry Hound to have a voice by Daws Butler .,HUM
202,When is the Thai New Year ?,NUM
203,What was her real name ?,HUM
204,How many people was Randy Craft convicted of murdering ?,NUM
205,How old is Britney Spears ?,NUM
206,What are the Baltic States ?,DESC
207,What European race sees the winner of its mountain stage awarded a jersey with large red polka dots ?,ENTY
208,"What is the origin and the meaning of the name , `` Hajo ? ''",DESC
209,How long does it take light to reach the Earth from the Sun ?,NUM
210,What newspaper serves Salt Lake City ?,ENTY
211,What country in 1998 had the most suicides regardless of population size ?,LOC
212,Who was Santos-Dumont ?,HUM
213,Which comic strip was never turned into a Broadway musical ?,ENTY
214,What causes headaches ?,DESC
215,Who is the president of the Spanish government ?,HUM
216,What is the dialogue circle in cartoons called ?,ENTY
217,Why is Indiglo called Indiglo ?,DESC
218,What is Compaq 's mission statement ?,DESC
219,Name the university of which Woodrow Wilson was president .,HUM
220,"What is the approximate population of Las Vegas , N.M ?",NUM
221,What comedian hit the TV screen in 1951 with the NBC afternoon show Time for Ernie ?,HUM
222,Who is Nicolo Paganini ?,HUM
223,What 's the most powerful card in Euchre ?,ENTY
224,Why were people recruited for the Vietnam War ?,DESC
225,What does the word `` meta '' mean ?,DESC
226,"What President hit the jogging paths to enhance his athletic image and , sporting No. 39 , almost collapsed during the road race ?",HUM
227,What does the abbreviation IOC stand for ?,ABBR
228,What 's the name of Tom Sawyer 's aunt with whom he lives ?,HUM
229,What stereo manufacturer is `` Slightly ahead of its time '' ?,HUM
230,What is the size of the largest akita ?,NUM
231,What does U.S.S.R. stand for ?,ABBR
232,How do I e-mail someone at aol.com from yahoo.com ?,DESC
233,Who advised listeners to `` see the U.S.A. in your Chevrolet '' ?,HUM
234,Why is Thanksgiving on a Thursday ?,DESC
235,What country 's capital is Tirana ?,LOC
236,When was Dick Clark born ?,NUM
237,How do wasps make their nests ?,DESC
238,What gender is not allowed to vote in Kuwait ?,ENTY
239,What is dry ice ?,DESC
240,What is witch hazel ?,DESC
241,Name a film that has won the Golden Bear in the Berlin Film Festival ?,ENTY
242,What is the difference between fatalism and determinism ?,DESC
243,How many colleges are in Wyoming ?,NUM
244,Who was President of Costa Rica in 1994 ?,HUM
245,What Chilean president was killed in a 1973 coup d 'etat ?,HUM
246,Who played Al Jolson in the Jolson Story ?,HUM
247,What animals can live the longest without food ?,ENTY
248,What does `` Semper Fidelis '' mean ?,DESC
249,What does the T.S. stand for in T.S. Eliot 's name ?,ABBR
250,What U.S. state lived under six flags ?,LOC
251,How many hummingbird eggs could fit in one ostrich egg ?,NUM
252,"Who is the author of the book , `` The Iron Lady",HUM
253,Where can I find the best free evidence for debate about Russia ?,LOC
254,What is meant by `` capital market '' ?,DESC
255,Name the country of giants twelve times the size of man in `` Gulliver 's Travels . '',LOC
256,On what date did Rosa Parks Become a symbol of the civil rights movement for refusing to give up her seat on the bus ?,NUM
257,Who 's played the most games for the New York Yankees ?,HUM
258,Who are Woody Woodpecker 's niece and nephew ?,HUM
259,Who was the star witness at the Senate Watergate hearings ?,HUM
260,What are the numbers that fit into Fermont 's last theorem ?,NUM
261,Who was the lawyer for Randy Steven Craft ?,HUM
262,Who directed The Wild Bunch ?,HUM
263,What amount of folic acid should an expectant mother take daily ?,NUM
264,What year was the Avery Dennison company founded ?,NUM
265,What diminutive American female gymnast stole the show at the 1984 Olympics ?,HUM
266,Where is Melbourne ?,LOC
267,In the past 8 years who have the MVP players for the NHL been ?,HUM
268,What movie did Madilyn Kahn star in with Gene Wilder ?,ENTY
269,In what year did the Bounty mutiny happen ?,NUM
270,How many electoral votes does it take to win presidency ?,NUM
271,Name of heroine in `` Scruples '' ?,HUM
272,What percentage of the world 's plant and animal species can be found in the Amazon forests ?,NUM
273,What does the Georgetown `` Hoya '' mean ?,DESC
274,What was known as the Spice Island ?,LOC
275,What 's the main vegetable in vichyssoise ?,ENTY
276,What soft drink tells us to `` Go Hawaiian '' ?,ENTY
277,"What is p.m. an abbreviation for , as in 5 p.m. ?",ABBR
278,What Mexican leader was shot dead in 1923 ?,HUM
279,When was Calypso music invented ?,NUM
280,"What former royal palace has served as a granary , prison , arsenal , leper colony , mint , telegraph station and whorehouse before becoming an art museum ?",LOC
281,What exactly is the purpose of the anteater ?,DESC
282,What plant is rum made from ?,ENTY
283,On what river is Strasbourg built ?,LOC
284,"What Frenchman claimed the following ? If God did not exist , it would be necessary to invent him . ''",HUM
285,What was Jimmy Durante 's theme song ?,ENTY
286,What is hypnotherapy ?,DESC
287,Where can I find a list of all the companies in America that offer a direct stock purchase plan ?,LOC
288,How many states did Richard Nixon carry in 1972 ?,NUM
289,Where is Rider College ?,LOC
290,What 's Japan 's largest car manufacturer ?,HUM
291,What two European countries are joined by the Gran San Bernardo Pass ?,LOC
292,What is Maurizio Pellegrin 's age ?,NUM
293,What is the one thing you need before you can purchase life insurance ?,ENTY
294,How many hearts does an octopus have ?,NUM
295,What do we call the imaginary line along the top of the Rocky Mountains ?,LOC
296,Who was Camp David named for ?,HUM
297,What Dynasty star made her 2th Century-Fox debut in The Virgin Queen ?,HUM
298,What is 55 times sweeter than cane sugar ?,ENTY
299,What are the five most popular Usenet groups ?,HUM
300,What rum is so `` mixable '' it is a one-brand bar ?,ENTY
301,Ray Charles is best known for playing what instrument ?,ENTY
302,What color are a cherry tree 's flowers ?,ENTY
303,What California bay 's largest island is Angel Island ?,LOC
304,What is the origin of the word nevermind ?,DESC
305,Who killed JFK ?,HUM
306,What is Candlemas Day ?,DESC
307,Where are the busiest ports in the world ?,LOC
308,What does the name `` Anthony '' mean ?,DESC
309,What do Englishmen weigh themselves in ?,NUM
310,"What is the origin of the midwest slang , ` you 're darn tootin ' ?",DESC
311,What is a green bog ?,DESC
312,What plant has the largest seed ?,ENTY
313,Why are electric cars less efficient in the northeast than in California ?,DESC
314,What is the origin of head lice ?,DESC
315,"Whose funeral train traveled from Washington D.C. to Springfield , Illinois ?",HUM
316,How many hands does Bjorn Borg use when hitting his forehand ?,NUM
317,What is Eagle 's syndrome styloid process ?,DESC
318,What U.S. President had brothers-in-law in the Confederate army ?,HUM
319,How do they raise the cranes when building high-rise buildings ?,DESC
320,Why are there no white lines on pro footballs ?,DESC
321,"Who is the richest person in the world , without owning a business ?",HUM
322,What Stephen King novel is set in a graveyard for pets ?,ENTY
323,How much money did the Marcos steal from their country ?,NUM
324,What kind of a sports team is the Wisconsin Badgers ?,ENTY
325,Who created the character of Scrooge ?,HUM
326,How many people did Randy Steven Craft murder ?,NUM
327,What is the gestation period for human pregnancies ?,NUM
328,What is the difference between terry cloth and French terry ?,DESC
329,How big is a quart ?,NUM
330,"What 's the better-known identity of John Merrick , the noble ogre of Victorian England ?",HUM
331,What were the first words spoken on a film sound track ?,DESC
332,Which city did Christian Crusaders fight to recapture from the Muslims ?,LOC
333,What is the biblical meaning of ` stones ' ?,DESC
334,Who was the tallest U.S. president ?,HUM
335,What is Betsy Ross famous for ?,DESC
336,Where did Bill Gates go to college ?,LOC
337,What war did Florence Nightingale tend the troops in ?,ENTY
338,How can I get someone 's phone number if I only have their screen name ?,DESC
339,In what book can I find the story of Aladdin ?,ENTY
340,When did the supercontinent Pangaea break up ?,NUM
341,Who wrote Sons and Lovers ?,HUM
342,When was the Battle of Hastings ?,NUM
343,Where do you find the answers for all these questions ?,LOC
344,"What cereal goes `` snap , crackle , pop '' ?",ENTY
345,What direction do the best surfing beaches face ?,LOC
346,In what country is a stuck-out tongue a friendly greeting ?,LOC
347,What should you yell to hail a taxi in Madrid ?,DESC
348,"What exactly , specifically does sleep do for you ?",DESC
349,How can I search for a word within my own webpage ?,DESC
350,"What schools in the Washington , DC NN NN VBP NN NN NN NN .",HUM
351,"Where did Freidreich Wilhelm Ludwig Leichhardt , Prussian born explorer , go to school ?",LOC
352,What do peacocks mate with ?,ENTY
353,Which produces the longer sperm - an elephant or a mouse ?,ENTY
354,Where can I find information on the Narragansett Indians and other tribes in Rhode Island ?,LOC
355,How do you address a Chinese person ?,DESC
356,What is the average age of a member of the team that worked on the Manhatten Project ?,NUM
357,Whose kidnaping was termed The Crime of the Century ?,HUM
358,"What drink is made up of rum , coconut milk and pineapple ?",ENTY
359,What college did Dikembe Mutombo play basketball for ?,HUM
360,When did Muhammad live ?,NUM
361,Name the fast food chain with the golden arches .,HUM
362,How long did the Paris Commune hold out for against the rest of France ?,NUM
363,Whom did Lauren Bacall marry after her husband Humphrey Bogart died ?,HUM
364,What Apollo 11 astronaut minded the store while Armstrong and Aldrin made history ?,HUM
365,What constellation represents a hunter with club and shield ?,LOC
366,What is he doing now ?,DESC
367,Who was the president of Vichy France ?,HUM
368,When was the first Wall Street Journal published ?,NUM
369,"What is the name of the largest city in Chile , South America ?",LOC
370,"When it 's time to relax , what one beer stands clear ?",ENTY
371,What are people doing to help prevent the extinction of birds ?,DESC
372,What is the meaning of the name Kathryn ?,DESC
373,How do plants make food ?,DESC
374,What is the Islamic counterpart to the Red Cross ?,ENTY
375,What record company was formed by Herb Alpert and Jerry Moss ?,HUM
376,What was the name of the 187s Irish terrorist group in Pennsylvania mining areas ?,HUM
377,What kind of nuts are used in marzipan ?,ENTY
378,What was the distinguishing mark on the `` Little Rascals '' dog ?,ENTY
379,What U.S. state has the most blondes ?,LOC
380,The film `` Jaws '' was made in what year ?,NUM
381,What was the sister ship of the Olympic ?,ENTY
382,What TV sitcom character had the maiden name Ethel Potter ?,HUM
383,How tall is Prince Charles ?,NUM
384,Which of these are authors ?,HUM
385,What Homerian epic chronicles events toward the end of the Trojan Wars ?,ENTY
386,When did French revolutionaries storm the Bastille ?,NUM
387,Who is Desmond Tutu ?,HUM
388,What 's the largest letter in Salvador Dali 's signature ?,ENTY
389,What do chefs call The Master Spice ?,ENTY
390,What kind of education would you need to become an athletic trainer for the NFL ?,ENTY
391,What sport does Chris Jogis play ?,ENTY
392,Where does Mother Angelica live ?,LOC
393,"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .",LOC
394,What 's the most common nickname of U.S. college football teams ?,HUM
395,Why is the mile 528 feet ?,DESC
396,What is the spectrum of a sine wave ?,DESC
397,What is the oldest profession ?,HUM
398,What 's the highest-ranking suit in bridge ?,ENTY
399,What is the capital of Burkina Faso ?,LOC
400,What was the Bridge of San Luis Rey made of ?,ENTY
401,Why did Egyptians shave their eyebrows ?,DESC
402,What were the causes of the Civil War ?,DESC
403,Which of many numbered vats of Scotch was judged best by a panel of experts in 1863 ?,ENTY
404,What desert has the highest sand dunes ?,LOC
405,What are the medical purposes of `` clitoridectomy '' ?,DESC
406,What sea separates Naples and Algiers ?,LOC
407,How does it make its colors ?,DESC
408,What did Lenny Bruce say that got him arrested ?,DESC
409,What magazine paid Ernest Hemingway $15 a word to write a bullfighting article ?,ENTY
410,What does Esa-Pekka Salonen look like ?,DESC
411,What actor came to dinner in Guess Who 's Coming to Dinner ?,HUM
412,How do you convert foot-pounds to foot-inches ?,DESC
413,What are the benefits of a rowing machine ?,DESC
414,On what river is Rome built ?,LOC
415,What book does Holden Caulfield appear in ?,ENTY
416,How many countries watch MTV Europe ?,NUM
417,What South American capital is the world 's highest ?,LOC
418,What are the 7 Wonders of the World ?,ENTY
419,In what year did Ireland elect its first woman president ?,NUM
420,Which condiment was once sold as a patent medicine ?,ENTY
421,What does NN O `` mean when used as a prefix in Irish surnames ?,ABBR
422,Who portrayed Vincent Van Gogh in Lust for Life ?,HUM
423,How many dollars a day did Arthur Frommer say you could get by on in Europe in 1968 ?,NUM
424,"What TV show premiered on January 15 , 1981 ?",ENTY
425,What are the names of Jacques Cousteau 's two sons ?,HUM
426,What 's the world 's most common compound ?,ENTY
427,What future movie treat was introduced to American colonists in 1603 by Native Americans ?,ENTY
428,Which of the following was Rhodes Scholar ?,HUM
429,What does the name Billie mean ?,DESC
430,What was William F. Cody 's better-known name ?,HUM
431,Which is the most-used computer program ?,ENTY
432,"What TV series featured Neal , a martini-drinking St. Bernard ?",ENTY
433,What is a phalanx ?,DESC
434,What concerts are held in New York this week ?,ENTY
435,When did humans first begin to write history seriously ?,NUM
436,How long does it take the Milky Way Galaxy to make one revolution ?,NUM
437,What is a fear of glass ?,ENTY
438,What presidential administration challenged Americans to explore The New Frontier ?,HUM
439,On what T.V. show could Tom Terrific be found ?,ENTY
440,Where is the location of the Orange Bowl ?,LOC
441,Where can I get information concerning child custody files for the State of Utah ?,LOC
442,Where are 8 of the 10 highest mountains in the world ?,LOC
443,Who is Peter Weir ?,HUM
444,What is the name of the dog on the Cracker Jack box ?,ENTY
445,What is Jane Goodall famous for ?,DESC
446,Who murdered Leno and Rosemary LaBianca on August 1,HUM
447,Who won the 1967 Academy Award for Best Actor ?,HUM
448,What state has the most Indians ?,LOC
449,What 's the difference and advantages of selecting a Super VHS VCR over plain VHS model ?,DESC
450,Who won a Pulitzer Prize for his novel The Caine Mutiny ?,HUM
451,What new games are available for Nintendo 64 ?,ENTY
452,What is Plc ?,DESC
453,How does marijuana lead to other drugs ?,DESC
454,Who wrote the Farmer 's Almanac ?,HUM
455,How many colors was the 1940s collectible called a Donald Duck Rubber Boat ?,NUM
456,What year was Janet Jackson 's first album released ?,NUM
457,Why do you say `` God bless you '' when people sneeze ?,DESC
458,What is the AIM-54C Phoenix ?,DESC
459,What did Walter Huston remove to perform in the movie The Treasure of the Sierra Madre ?,ENTY
460,"What household facility contains a float ball , ballcock , and overflow tube ?",ENTY
461,What TV quiz show left the air in 1975 to the tune of Vera Lynn 's We 'll Meet Again ?,ENTY
462,What is yohimbine ?,DESC
463,Who were the `` filthiest people alive ? '',HUM
464,What sports event is Meyer Wolfsheim supposed to have fixed in The Great Gatsby ?,ENTY
465,What are the seven seas ?,LOC
466,How many years old is Benny Carter ?,NUM
467,Why do rooftops give off steam after a big rainstorm ?,DESC
468,What Polynesian people inhabit New Zealand ?,HUM
469,What are the names of Richard Nixon 's two daughters ?,HUM
470,How do you write a correct critical analysis of a poem ?,DESC
471,What type is a snail ?,ENTY
472,How many freckles does Howdy Doody have on his face ?,NUM
473,What is the origin of `` barbeque '' ?,DESC
474,Why do some clothing labels say `` Use a nonchlorine bleach '' ?,DESC
475,How can I find out my biorhythm ?,DESC
476,What is Nicholas Cage 's profession ?,HUM
477,What country in Latin America is the largest one ?,LOC
478,In what year did Joe DiMaggio compile his 56-game hitting streak ?,NUM
479,What is a Devo hat ?,DESC
480,How many Fig Newtons are there to the pound ?,NUM
481,How fast must a spacecraft travel to escape Earth 's gravity ?,NUM
482,How is Answers.com funded ?,DESC
483,How many pounds are there in a stone ?,NUM
484,What animal do buffalo wings come from ?,ENTY
485,What award is the `` Oscar '' of advertising ?,ENTY
486,What strait links the Mediterranean Sea and the Atlantic Ocean ?,LOC
487,What is hypertext ?,DESC
488,How long is the border between Canada and the 48 conterminous states ?,NUM
489,Who released the Internet worm in the late 1980s ?,HUM
490,What female faith healer wrote the inspirational book I Believe in Miracles ?,HUM
491,What city has the world 's longest subway system ?,LOC
492,What does the name Kelly mean ?,DESC
493,What is a wart ?,DESC
494,What sport do the Cleaveland Cavaliers play ?,ENTY
495,Where was the first zoo in the U.S. ?,LOC
496,What is the most expensive car in the world ?,ENTY
497,What does storm wave mean in Japanese ?,DESC
498,Independent silversmith 's account for what percentage of silver production ?,NUM
499,What is a fear of sourness ?,ENTY
500,Where is the Rose Bowl played ?,LOC
501,What William Styron book is about a black preacher who leads a slave revolt ?,ENTY
502,What are snowballs to a hot-rodder ?,DESC
503,Where is Windsor Castle ?,LOC
504,How do I increase my biceps ' size ?,DESC
505,What is your favorite color ?,ENTY
506,How many spears are there on Kenya 's flag ?,NUM
507,Who is the prophet that is most connected to the Dead Sea ?,HUM
508,What does the acronym CPR mean ?,ABBR
509,What is the predominant color of the Tab label ?,ENTY
510,How many different countries export coffee ?,NUM
511,Rotary engine cars were made by what company ?,HUM
512,How many CDs has Garth Brooks sold ?,NUM
513,What is the term for a group of geese ?,ENTY
514,Who holds the career record for the most major league home runs ?,HUM
515,What Nevil Shute novel is about the doomed survivors of a nuclear war ?,ENTY
516,What 's the term for an organism that lives on or in another ?,ENTY
517,What is a conifer ?,DESC
518,What do river otters eat ?,ENTY
519,Describe the Finnish music personality Salonen 's appearance .,DESC
520,What facial feature typically contains about 55 hairs ?,DESC
521,How does salt melt ice and snow ?,DESC
522,What does e=mc2 mean ?,DESC
523,What is the capital of Kosovo ?,LOC
524,What does MSG stand for ?,ABBR
525,Who won two gold medals in skiing in the Olympic Games in Calgary ?,HUM
526,What was the worst hurricane ?,ENTY
527,What nationality is Ileana Cotrubas ?,LOC
528,In what year was De Gaulle elected president of France ?,NUM
529,Who makes the `` Die Hard '' car battery ?,HUM
530,What are the Greek numerals ?,DESC
531,Where is McCarren Airport located ?,LOC
532,What nationality is Gorbachev ?,LOC
533,How many websites are there in the world ?,NUM
534,"What is the name of the ` female ' counterpart to El Nino , which results in cooling temperatures and very dry weather ?",ENTY
535,"Who was in Death of a Salesman original movie , not 1985 ?",HUM
536,What 's the green variety of beryl called ?,ENTY
537,Who invented the toothbrush ?,HUM
538,"What planet would you visit to see Bebrenia , Arcadia , and Amazonis ?",LOC
539,What soft drink would provide me with the biggest intake of caffeine ?,ENTY
540,What year did Montana become a state ?,NUM
541,What is the most widely cultivated plant ?,ENTY
542,Who directed `` Jaws '' ?,HUM
543,What is a fear of cold ?,ENTY
544,What is Shirley MacLaine known as ?,ENTY
545,What does Robin Williams do ?,HUM
546,What 's the world 's largest cathedral ?,LOC
